,name,latitude,longitude
163,Harvard Avenue,42.350602,-71.130727
164,Longwood,42.341571,-71.110147
165,Union Square,42.377024,-71.093964
166,Davis,42.39674,-71.121815
167,Magoun Square,42.394357,-71.106824
168,Washington Street,42.344329,-71.142385
169,Riverway,42.331871,-71.111961
170,Davis,42.39674,-71.121815
171,Reservoir,42.335181,-71.147879
172,Wollaston,42.266788,-71.020457
173,Malden Center,42.426662,-71.074314
174,Government Center,42.359705,-71.059215
175,Chiswick Road,42.34054,-71.15114
176,Warren Street,42.348819,-71.140051
177,Kendall/MIT,42.362434,-71.085591
178,Shawmut,42.2931258,-71.065738
179,Chestnut Hill,42.326782,-71.16478
180,Kent Street,42.344117,-71.114097
181,JFK/UMass,42.320418,-71.052287
182,Airport,42.374262,-71.030395
183,Charles/MGH,42.361187,-71.071505
184,Shawmut,42.2931258,-71.065738
185,Summit Avenue,42.34112,-71.125652
186,Fenwood Road,42.33374,-71.105721
187,Downtown Crossing,42.355518,-71.060225
188,Cedar Grove,42.279546,-71.060392
189,Beaconsfield,42.335912,-71.140903
190,Washington Street,42.343974,-71.142731
191,Milton,42.270388,-71.067253
192,Lechmere,42.371566,-71.076457
193,Wonderland,42.413361,-70.991685
194,Suffolk Downs,42.39061,-70.99703
195,Brigham Circle,42.334331,-71.104487
196,Stony Brook,42.317062,-71.104248
197,Newton Centre,42.329552,-71.192024
198,North Station,42.36528,-71.060205
199,Green Street,42.309796,-71.107988
200,Science Park/West End,42.366664,-71.067666
201,Massachusetts Avenue,42.340892,-71.084124
202,Wonderland,42.413514,-70.991714
203,Kenmore,42.348949,-71.095169
204,Packard's Corner,42.351651,-71.12551
205,Sutherland Road,42.341577,-71.146607
206,Stony Brook,42.317062,-71.104248
207,State,42.358978,-71.057598
208,Longwood Medical Area,42.336217,-71.099328
209,Alewife,42.396148,-71.140698
210,Roxbury Crossing,42.330671,-71.096121
211,Arlington,42.351902,-71.070893
212,Forest Hills,42.300926,-71.114129
213,Longwood Medical Area,42.33608,-71.099883
214,Andrew,42.330154,-71.057655
215,Park Street,42.3563946,-71.0624242
216,Summit Avenue,42.341027,-71.125759
217,Union Square,42.37699,-71.093993
218,Park Street,42.3563946,-71.0624242
219,Saint Mary's Street,42.346007,-71.107166
220,Haymarket,42.363021,-71.05829
221,Wellington,42.401505,-71.077252
222,Park Street,42.3563946,-71.0624242
223,Eliot,42.318871,-71.21642
224,Government Center,42.359705,-71.059215
225,Washington Square,42.339519,-71.134587
226,Quincy Center,42.251809,-71.005409
227,Tappan Street,42.338498,-71.138731
228,North Quincy,42.27577,-71.030194
229,Downtown Crossing,42.355518,-71.060225
230,North Station,42.36528,-71.060205
231,Broadway,42.342622,-71.056967
232,Saint Paul Street,42.34334,-71.116927
233,Central,42.365304,-71.103621
234,Hawes Street,42.344867,-71.111157
235,Brookline Village,42.332614,-71.116751
236,Fenwood Road,42.333706,-71.105583
237,Charles/MGH,42.361263,-71.071602
238,Amory Street,42.351066,-71.115027
239,Tappan Street,42.338567,-71.13819
240,Oak Grove,42.437735,-71.070875
241,Riverway,42.331391,-71.111925
242,Park Street,42.3563946,-71.0624242
243,South Street,42.339371,-71.157057
244,Butler,42.272449,-71.062513
245,Wood Island,42.37974,-71.022818
246,Andrew,42.330154,-71.057655
247,Capen Street,42.267563,-71.087338
248,Fenway,42.345328,-71.104269
249,Cleveland Circle,42.336216,-71.149201
250,Copley,42.349871,-71.078049
251,Newton Centre,42.3294,-71.192622
252,Fairbanks Street,42.339644,-71.131078
253,Chestnut Hill Avenue,42.33829,-71.153025
254,Griggs Street,42.348747,-71.1345
255,Central Avenue,42.270054,-71.073523
256,Packard's Corner,42.351891,-71.125067
257,Lechmere,42.370989,-71.07586
258,Hynes Convention Center,42.347888,-71.087903
259,Capen Street,42.267589,-71.087139
260,Washington Square,42.339471,-71.135139
261,North Station,42.36528,-71.060205
262,Fairbanks Street,42.33969,-71.131228
263,Boylston,42.352531,-71.064682
264,Brandon Hall,42.340038,-71.12866
